metric	MinHash_k	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	500	0	1000	1000	500.000000	500.000000	0.500375	0.499060	6.136459e-04
jaccard	500	1	2000	2000	500.000000	500.000000	0.499813	0.502010	4.426488e-04
jaccard	500	2	4000	4000	500.000000	500.000000	0.500094	0.500440	4.470063e-04
jaccard	500	3	8000	8000	500.000000	500.000000	0.499953	0.499870	4.505300e-04
jaccard	500	4	16000	16000	500.000000	500.000000	0.500023	0.499060	4.463646e-04
jaccard	500	5	32000	32000	500.000000	500.000000	0.499988	0.501770	4.911416e-04
jaccard	500	6	64000	64000	500.000000	500.000000	0.500006	0.499250	3.734288e-04
jaccard	500	7	128000	128000	500.000000	500.000000	0.499997	0.501270	4.262274e-04
jaccard	500	8	256000	256000	500.000000	500.000000	0.500001	0.500460	4.763987e-04
jaccard	500	9	512000	512000	500.000000	500.000000	0.499999	0.496400	5.485947e-04